country,happiness_score,economy_gdp_per_capita,family,health_life_expectancy,freedom,trust_government_corruption,generosity,year,region
Japan,5.987,1.27074,1.25712,0.99111,0.49615,0.1806,0.10705,2015,East Asia
South Korea,5.984,1.24461,0.95774,0.96538,0.33208,0.07857,0.18557,2015,East Asia
Ecuador,5.975,0.86402,0.99903,0.79075,0.48574,0.1809,0.11541,2015,Latin America and Caribbean
Bahrain,5.96,1.32376,1.21624,0.74716,0.45492,0.306,0.17362,2015,Middle East and North Africa
Italy,5.948,1.25114,1.19777,0.95446,0.26236,0.02901,0.22823,2015,Western Europe
Bolivia,5.89,0.68133,0.97841,0.5392,0.57414,0.088,0.20536,2015,Latin America and Caribbean
Moldova,5.889,0.59448,1.01528,0.61826,0.32818,0.01615,0.20951,2015,Commonwealth of Independent States
Paraguay,5.878,0.75985,1.30477,0.66098,0.53899,0.08242,0.3424,2015,Latin America and Caribbean
Kazakhstan,5.855,1.12254,1.12241,0.64368,0.51649,0.08454,0.11827,2015,Commonwealth of Independent States
Slovenia,5.848,1.18498,1.27385,0.87337,0.60855,0.03787,0.25328,2015,Central and Eastern Europe
Lithuania,5.833,1.14723,1.25745,0.73128,0.21342,0.01031,0.02641,2015,Central and Eastern Europe
Nicaragua,5.828,0.59325,1.14184,0.74314,0.55475,0.19317,0.27815,2015,Latin America and Caribbean
Peru,5.824,0.90019,0.97459,0.73017,0.41496,0.05989,0.14982,2015,Latin America and Caribbean
Belarus,5.813,1.03192,1.23289,0.73608,0.37938,0.1909,0.11046,2015,Commonwealth of Independent States
Poland,5.791,1.12555,1.27948,0.77903,0.53122,0.04212,0.16759,2015,Central and Eastern Europe
Malaysia,5.77,1.12486,1.07023,0.72394,0.53024,0.10501,0.33075,2015,Southeast Asia
Croatia,5.759,1.08254,0.79624,0.78805,0.25883,0.0243,0.05444,2015,Central and Eastern Europe
Libya,5.754,1.13145,1.11862,0.7038,0.41668,0.11023,0.18295,2015,Middle East and North Africa
Russia,5.716,1.13764,1.23617,0.66926,0.36679,0.03005,0.00199,2015,Commonwealth of Independent States
Jamaica,5.709,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,2015,Latin America and Caribbean
North Cyprus,5.695,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,2015,Western Europe
Cyprus,5.689,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,2015,Western Europe
Algeria,5.605,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,2015,Middle East and North Africa
Kosovo,5.589,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,2015,Central and Eastern Europe
Turkmenistan,5.548,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,2015,Commonwealth of Independent States
Mauritius,5.477,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,2015,Sub-Saharan Africa
Hong Kong,5.474,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,2015,NA
Estonia,5.429,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,2015,Central and Eastern Europe
Indonesia,5.399,0.82827,1.08708,0.63793,0.46611,0,0.51535,2015,Southeast Asia
Vietnam,5.36,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,2015,Southeast Asia
Turkey,5.332,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,2015,Middle East and North Africa
Kyrgyzstan,5.286,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,2015,Commonwealth of Independent States
Nigeria,5.268,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,2015,Sub-Saharan Africa
Bhutan,5.253,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,2015,NA
Azerbaijan,5.212,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,2015,Commonwealth of Independent States
Pakistan,5.194,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,2015,South Asia
Jordan,5.192,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,2015,Middle East and North Africa
Montenegro,5.192,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,2015,Central and Eastern Europe
China,5.14,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,2015,East Asia
Zambia,5.129,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,2015,Sub-Saharan Africa
Romania,5.124,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,2015,Central and Eastern Europe
Serbia,5.123,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,2015,Central and Eastern Europe
Portugal,5.102,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,2015,Western Europe
Latvia,5.098,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,2015,Central and Eastern Europe
Philippines,5.073,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,2015,Southeast Asia
Somaliland region,5.057,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,2015,NA
Morocco,5.013,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,2015,Middle East and North Africa
Macedonia,5.007,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,2015,NA
Mozambique,4.971,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,2015,Sub-Saharan Africa
Albania,4.959,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,2015,Central and Eastern Europe
Bosnia and Herzegovina,4.949,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,2015,Central and Eastern Europe
Lesotho,4.898,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,2015,Sub-Saharan Africa
Dominican Republic,4.885,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,2015,Latin America and Caribbean
Laos,4.876,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,2015,Southeast Asia
Mongolia,4.874,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,2015,East Asia
Swaziland,4.867,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,2015,Sub-Saharan Africa
Greece,4.857,1.15406,0.92933,0.88213,0.07699,0.01397,0,2015,Western Europe
Lebanon,4.839,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,2015,Middle East and North Africa
Hungary,4.8,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,2015,Central and Eastern Europe
Honduras,4.788,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,2015,Latin America and Caribbean
Tajikistan,4.786,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,2015,Commonwealth of Independent States
